Time	Conc
2218.25	0.00374
2218.292	0.00375
2218.333	0.00375
2218.375	0.00376
2218.417	0.00376
2218.458	0.00377
2218.5	0.00378
2218.542	0.00378
2218.583	0.00379
2218.625	0.0038
2218.667	0.0038
2218.708	0.00381
2218.75	0.00381
2218.792	0.00382
2218.833	0.00383
2218.875	0.00383
2218.917	0.00384
2218.958	0.00384
2219	0.00385
2219.042	0.00386
2219.083	0.00386
2219.125	0.00386
2219.167	0.00388
2219.208	0.00388
2219.25	0.00387
2219.292	0.00386
2219.333	0.00386
2219.375	0.00385
2219.417	0.00385
2219.458	0.00384
2219.5	0.00384
2219.542	0.00384
2219.583	0.00384
2219.625	0.00384
2219.667	0.00384
2219.708	0.00384
2219.75	0.00384
2219.792	0.00384
2219.833	0.00385
2219.875	0.00385
2219.917	0.00385
2219.958	0.00386
2220	0.00386
2220.042	0.00386
2220.083	0.00384
2220.125	0.00329
2220.167	0.00204
2220.208	0.0011
2220.25	0.000886
2220.292	0.000899
2220.333	0.00101
2220.375	0.00118
2220.417	0.00138
2220.458	0.00156
2220.5	0.00173
2220.542	0.00188
2220.583	0.00201
2220.625	0.00212
2220.667	0.00221
2220.708	0.0023
2220.75	0.00236
2220.792	0.00243
2220.833	0.00249
2220.875	0.00254
2220.917	0.00259
2220.958	0.00264
2221	0.00268
2221.042	0.00272
2221.083	0.00268
2221.125	0.00217
2221.167	0.00151
2221.208	0.00128
2221.25	0.00134
2221.292	0.00146
2221.333	0.00161
2221.375	0.00174
2221.417	0.00187
2221.458	0.00197
2221.5	0.00207
2221.542	0.00215
2221.583	0.00222
2221.625	0.00228
2221.667	0.00234
2221.708	0.00239
2221.75	0.00244
2221.792	0.00248
2221.833	0.00252
2221.875	0.00256
2221.917	0.0026
2221.958	0.00263
2222	0.00267
2222.042	0.0027
2222.083	0.00272
2222.125	0.00275
2222.167	0.00278
2222.208	0.0028
2222.25	0.00282
2222.292	0.00284
2222.333	0.00285
2222.375	0.00287
2222.417	0.00288
2222.458	0.0029
2222.5	0.00291
2222.542	0.00292
2222.583	0.00294
2222.625	0.00295
2222.667	0.00296
2222.708	0.00297
2222.75	0.00298
2222.792	0.003
2222.833	0.00301
2222.875	0.00302
2222.917	0.00303
2222.958	0.00304
2223	0.00306
2223.042	0.00307
2223.083	0.00308
2223.125	0.00309
2223.167	0.0031
2223.208	0.00311
2223.25	0.00312
2223.292	0.00313
2223.333	0.00314
2223.375	0.00315
2223.417	0.00316
2223.458	0.00316
2223.5	0.00317
2223.542	0.00318
2223.583	0.00319
2223.625	0.0032
2223.667	0.0032
2223.708	0.00321
2223.75	0.00322
2223.792	0.00323
2223.833	0.00324
2223.875	0.00324
2223.917	0.00325
2223.958	0.00326
2224	0.00327
2224.042	0.00328
2224.083	0.00326
2224.125	0.00316
2224.167	0.00301
2224.208	0.00285
2224.25	0.00274
2224.292	0.00267
2224.333	0.00262
2224.375	0.0026
2224.417	0.00259
2224.458	0.00259
2224.5	0.0026
2224.542	0.00262
2224.583	0.00264
2224.625	0.00266
2224.667	0.00268
2224.708	0.0027
2224.75	0.00272
2224.792	0.00275
2224.833	0.00277
2224.875	0.00279
2224.917	0.00281
2224.958	0.00283
2225	0.00285
2225.042	0.00287
2225.083	0.00289
2225.125	0.0029
2225.167	0.00292
2225.208	0.00294
2225.25	0.00295
2225.292	0.00295
2225.333	0.00296
2225.375	0.00297
2225.417	0.00297
2225.458	0.00298
2225.5	0.00299
2225.542	0.003
2225.583	0.003
2225.625	0.00301
2225.667	0.00302
2225.708	0.00303
2225.75	0.00304
2225.792	0.00305
2225.833	0.00306
2225.875	0.00307
2225.917	0.00308
2225.958	0.00309
2226	0.0031
2226.042	0.00311
2226.083	0.00312
2226.125	0.00313
2226.167	0.00314
2226.208	0.00315
2226.25	0.00316
2226.292	0.00317
2226.333	0.00318
2226.375	0.00319
2226.417	0.0032
2226.458	0.00321
2226.5	0.00322
2226.542	0.00323
2226.583	0.00324
2226.625	0.00325
2226.667	0.00326
2226.708	0.00327
2226.75	0.00328
2226.792	0.00328
2226.833	0.00329
2226.875	0.0033
2226.917	0.00331
2226.958	0.00332
2227	0.00333
2227.042	0.00334
2227.083	0.00335
2227.125	0.00336
2227.167	0.00337
2227.208	0.00337
2227.25	0.00338
2227.292	0.00339
2227.333	0.0034
2227.375	0.00341
2227.417	0.00342
2227.458	0.00342
2227.5	0.00343
2227.542	0.00344
2227.583	0.00345
2227.625	0.00345
2227.667	0.00346
2227.708	0.00347
2227.75	0.00348
2227.792	0.00349
2227.833	0.00349
2227.875	0.0035
2227.917	0.00351
2227.958	0.00351
2228	0.00352
2228.042	0.00353
2228.083	0.00353
2228.125	0.00354
2228.167	0.00355
2228.208	0.00354
2228.25	0.00354
2228.292	0.00353
2228.333	0.00352
2228.375	0.00352
2228.417	0.00351
2228.458	0.00351
2228.5	0.00351
2228.542	0.00351
2228.583	0.00351
2228.625	0.00351
2228.667	0.00351
2228.708	0.00351
2228.75	0.00351
2228.792	0.00352
2228.833	0.00352
2228.875	0.00352
2228.917	0.00353
2228.958	0.00353
2229	0.00353
2229.042	0.00354
2229.083	0.00354
2229.125	0.00355
2229.167	0.00355
2229.208	0.00356
2229.25	0.00356
